text,annotator_a,notes,annotator_b,agree
Is it crazy to say Jokic is the worst player to have the “Best In the World” title in modern NBA history?,hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",hot_take,True
Only a handful of rings should count...,reaction,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,True
Pascal Siakam (Raptors2019) OG Anunoby (Raptors 2019) Alex Caruso (Lakers 2020) Thomas Bryant (Nuggets 2022),analysis,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",analysis,True
OKC losers actually flaming jokic is insane,reaction,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,True
Bill Simmons and Ryen Russilo discuss a Giannis for Evan Mobley straight up trade and agree it's fair and both teams would agree,hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",hot_take,True
Alex Caruso highlights from game 7,hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,False
Thibs sticks to what he knows (sometimes at the detriment of the team). To this point it has gotten us to the ECF but its clear we can tap into more rotation wise. Thibs loves Josh Hart and Hart is a great player but he kind of kills the half-court offense because teams put their Center on him and sag off. Against Boston he shot **42%** from 3 we are going to need him to keep that up if we are going to have a shot.,analysis,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",analysis,True
Almost all sports are like this,reaction,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,True
"[Stein]The Bucks, league sources say, remain hopeful Giannis Antetokounmpo will decide against asking to be dealt after a third successive first-round playoff exit and choose instead to extend a career that has spanned 12 seasons as a Buck to date.",hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",analysis,False
Alex Caruso highlights from game 7.,hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,False
"Interesting observation since the current era of NBA stars has been dominated by European stars like Luka, Jokic and Giannis 2025 - Brunson (Knicks), Haliburton (Pacers) | Ant (Timberwolves), SGA (Thunder) 2015 - Milsap/Teague/Horford (Hawks), Lebron (Cavaliers) | Harden (Rockets), Curry (Warriors)",analysis,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",analysis,True
Commercials (and using replay challenges and fouls/timeouts to slam more of them into the broadcast) have gone too far.,hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",hot_take,True
[Highlight] Aaron Gordon splashes the 3-pointer,hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,False
"Where do you think he'll play next year? I know he is a divisive figure but, in my opinion, he does deserve a ring.",hot_take,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",hot_take,True
Who’s better all time Duncan or Jokic?,reaction,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,True
The game is already scripted,reaction,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,True
We’ve officially started a new era,reaction,"heuristic_fallback:Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",reaction,True
